,Date,Low,High,Close,Open
3641,2018-10-24,30.24,32.75,30.34,32.48
3640,2008-06-09,3.83,4.27,3.92,4.25
3639,2015-02-20,49.13,51.12,51.02,49.81
3638,2014-12-24,50.35,51.69,51.43,50.66
3637,2012-06-04,11.12,12.63,11.18,12.63
3636,2017-03-17,41.6,42.214,41.72,42.0
3635,2018-05-29,43.22,45.15,43.59,44.6
3634,2007-04-23,43.04,45.65,43.21,45.5
3633,2016-03-16,41.5903,42.43,42.31,41.81
3632,2015-11-24,40.45,41.64,41.23,41.02
3631,2015-05-19,47.7,49.68,47.85,49.45
3630,2018-12-03,39.135,40.58,39.65,40.57
3629,2005-12-29,37.19,37.95,37.38,37.45
3628,2007-07-11,33.43,34.74,34.73,34.49
3627,2007-01-29,52.15,55.9,54.43,52.23
3626,2009-04-02,2.69,2.95,2.83,2.71
3625,2016-01-21,38.02,40.0,39.79,38.93
3624,2018-04-27,42.325,43.48,43.4,42.55
3623,2017-03-23,40.48,41.86,41.41,40.7
3622,2008-06-19,2.93,3.55,3.54,3.0
3621,2012-01-23,6.2,6.49,6.26,6.43
3620,2013-12-27,24.91,26.1,24.94,25.95
3619,2012-04-18,8.1,8.35,8.2,8.12
3618,2012-08-10,10.04,10.29,10.07,10.17
3617,2007-03-20,47.85,49.4,48.53,47.88
3616,2007-02-05,57.02,58.67,58.41,57.49
3615,2016-05-31,31.33,31.97,31.91,31.75
3614,2015-02-09,45.95,47.235,46.53,46.41
3613,2007-09-24,25.7,29.37,25.98,29.33
3612,2016-08-29,36.05,36.41,36.17,36.13
3611,2007-05-25,34.17,35.1,34.25,35.1
3610,2008-03-20,8.16,8.95,8.73,8.25
3609,2009-01-21,6.55,7.86,7.54,7.86
3608,2017-04-07,41.28,42.1,41.81,41.53
3607,2013-10-07,20.3,20.77,20.39,20.41
3606,2018-06-12,43.09,44.3,43.41,44.23
3605,2012-10-08,11.52,11.84,11.57,11.76
3604,2018-08-06,37.87,38.49,38.41,38.26
3603,2007-02-01,55.5,58.04,57.99,56.5
3602,2018-11-28,37.78,38.97,38.94,38.59
3601,2018-02-27,54.24,55.6,54.26,54.89
3600,2018-03-19,54.19,55.69,54.62,55.33
3599,2011-11-04,5.36,5.57,5.5,5.49
3598,2013-11-11,23.06,23.45,23.27,23.25
3597,2008-10-22,7.77,8.88,8.49,7.97
3596,2018-02-23,52.72,53.48,53.39,53.3
3595,2006-06-16,45.1,47.7,45.2,45.49
3594,2015-08-28,38.35,39.58,38.62,38.93
3593,2008-03-06,11.4,12.73,11.56,12.73
3592,2010-04-14,7.37,7.63,7.42,7.54
3591,2011-11-14,4.94,5.2,4.98,5.03
3590,2011-01-14,10.75,10.91,10.79,10.84
3589,2007-11-07,22.0,23.25,22.6,22.61
3588,2018-01-29,52.585,53.16,52.68,52.79
3587,2011-01-31,9.89,10.53,9.92,10.19
3586,2015-05-05,46.9,48.71,47.005,48.21
3585,2012-06-11,11.35,12.42,11.36,12.22
3584,2017-03-09,43.25,44.93,43.33,44.5
3583,2009-06-19,2.54,2.71,2.57,2.66
3582,2009-05-12,3.3,3.79,3.41,3.78
3581,2018-08-13,36.68,37.33,36.79,37.29
3580,2019-07-01,32.5301,33.6632,32.88,33.14
3579,2019-12-12,26.95,28.02,27.72,27.09
3578,2018-04-04,50.51,52.1,52.04,50.6
3577,2015-08-04,41.88,42.77,42.74,42.15
3576,2011-06-10,8.05,8.27,8.1,8.15
3575,2014-07-09,40.505,42.35,41.985,42.08
3574,2016-04-11,38.67,39.55,38.73,38.79
3573,2019-10-04,25.07,25.85,25.83,25.33
3572,2020-02-20,28.2024,28.9,28.51,28.24
3571,2017-02-21,46.5833,47.27,46.81,47.01
3570,2014-05-20,38.02,38.88,38.24,38.54
3569,2005-12-30,36.92,37.58,37.14,37.55
3568,2008-04-21,7.69,8.11,7.83,8.11
3567,2013-04-26,16.16,16.73,16.59,16.38
3566,2013-03-28,16.82,17.09,16.97,17.0
3565,2011-12-09,5.37,5.68,5.62,5.37
3564,2009-08-07,3.07,3.32,3.21,3.14
3563,2008-05-30,3.96,4.25,3.96,4.25
3562,2009-01-07,8.66,9.47,9.08,8.66
3561,2010-03-02,7.5,7.82,7.68,7.74
3560,2020-02-21,27.17,28.3,27.82,28.12
3559,2008-10-20,6.7,7.47,7.39,7.18
3558,2005-12-13,33.05,33.8,33.25,33.76
3557,2018-05-14,42.2,43.09,42.46,42.75
3556,2006-08-28,40.1,42.15,41.81,40.1
3555,2006-12-22,54.0,55.7,55.34,54.0
3554,2014-07-21,42.25,42.95,42.48,42.91
3553,2011-03-10,8.81,9.34,9.09,8.86
3552,2013-09-23,18.54,19.0,18.86,18.89
3551,2013-11-26,23.7,24.24,23.81,24.17
3550,2010-11-29,11.16,11.79,11.28,11.62
3549,2018-02-15,50.94,51.88,51.67,51.45
3548,2016-09-30,35.8601,36.99,36.61,35.98
3547,2008-09-16,8.15,9.22,9.1,8.15
3546,2013-08-21,15.75,15.99,15.81,15.8
3545,2006-08-15,39.0,40.61,40.6,39.7
3544,2013-01-23,15.02,15.64,15.07,15.32
3543,2009-11-03,2.84,3.03,2.93,2.88
3542,2012-05-23,10.28,11.0,11.0,10.5
3541,2019-08-26,25.03,25.91,25.19,25.9
3540,2013-12-03,22.01,22.99,22.39,22.99
3539,2011-09-07,5.13,5.23,5.21,5.18
3538,2006-05-24,42.76,45.36,43.82,45.3
3537,2015-05-29,41.32,42.6,42.37,41.68
3536,2008-11-07,7.52,8.46,7.87,8.29
3535,2017-06-28,48.81,49.7956,49.25,48.82
3534,2009-03-26,2.5,2.85,2.8,2.74
3533,2017-04-17,43.36,44.25,44.23,43.47
3532,2010-07-23,9.76,10.4,10.35,9.77
3531,2017-02-16,46.66,47.65,46.97,47.5
3530,2012-03-26,7.42,7.75,7.73,7.63
3529,2015-08-10,41.45,42.43,41.68,41.75
3528,2010-10-11,9.0,9.16,9.0,9.06
3527,2012-09-07,11.33,12.2,12.14,11.39
3526,2014-06-16,39.67,41.29,41.06,39.68
3525,2018-02-28,53.635,54.6,54.25,54.41
3524,2006-01-04,37.7,40.6,39.2,37.7
3523,2013-06-03,17.4,17.9,17.73,17.54
3522,2015-12-04,43.82,44.99,44.97,43.82
3521,2018-04-30,42.76,43.81,42.93,43.5
3520,2008-01-07,12.06,12.93,12.23,12.4
3519,2016-02-08,34.76,36.16,35.55,36.08
3518,2018-11-09,36.03,37.26,36.22,36.7
3517,2011-11-03,5.09,5.62,5.61,5.4
3516,2015-04-16,47.75,48.91,48.24,47.81
3515,2017-09-01,44.65,45.47,45.31,44.85
3514,2011-02-09,9.76,9.96,9.88,9.95
3513,2017-11-15,45.45,47.31,47.19,45.71
3512,2016-08-05,33.68,34.72,34.44,33.71
3511,2013-07-08,16.85,17.09,16.94,16.94
3510,2013-11-06,21.9,23.26,22.4,23.26
3509,2006-03-23,38.52,39.9,39.11,39.61
3508,2011-03-23,8.65,8.93,8.73,8.82
3507,2011-10-10,5.22,5.4,5.33,5.39
3506,2006-02-06,28.66,29.7,29.27,29.2
3505,2006-05-04,47.75,49.2,48.05,48.4
3504,2011-08-01,5.9,6.43,5.96,6.4
3503,2006-07-13,48.22,51.05,48.52,51.0
3502,2012-02-21,7.77,8.89,7.89,8.87
3501,2019-05-23,29.3099,29.98,29.5,29.73
3500,2005-12-06,32.04,33.75,33.62,32.04
3499,2011-02-07,9.28,9.82,9.72,9.29
3498,2005-12-21,35.33,37.0,36.51,35.38
3497,2008-06-23,2.52,3.25,2.54,3.24
3496,2007-03-08,49.11,50.93,49.31,49.88
3495,2014-02-03,33.05,34.48,33.96,33.95
3494,2018-11-02,35.64,37.46,36.33,36.59
3493,2017-08-03,50.36,51.195,50.55,50.56
3492,2015-10-23,43.81,46.42,45.67,46.37
3491,2011-08-18,5.2,5.47,5.35,5.41
3490,2007-12-18,14.41,15.08,14.81,14.85
3489,2015-11-12,43.82,44.52,43.9,44.29
3488,2010-10-19,9.85,10.24,10.09,9.94
3487,2015-01-28,50.3,53.699,50.62,52.79
3486,2016-11-08,41.02,41.85,41.7,41.42
3485,2018-09-12,39.23,40.401,39.26,40.26
3484,2011-09-29,5.99,6.28,6.1,6.28
3483,2018-11-01,35.07,36.47,36.37,35.3
3482,2013-07-01,16.48,17.04,16.8,16.5
3481,2008-03-19,8.07,8.86,8.43,8.13
3480,2016-07-15,35.32,36.06,35.89,35.51
3479,2011-09-28,6.06,6.24,6.12,6.11
3478,2016-08-30,35.35,37.355,37.05,35.45
3477,2007-10-12,28.88,30.16,30.15,29.15
3476,2018-02-16,51.53,52.205,51.58,51.8
3475,2009-12-18,4.32,4.63,4.53,4.61
3474,2015-05-27,41.6,42.45,42.24,41.65
3473,2019-09-19,28.16,28.74,28.3,28.63
3472,2011-04-26,8.38,8.8,8.8,8.38
3471,2018-07-03,36.76,38.33,37.75,37.64
3470,2015-05-04,48.8,50.08,48.95,49.41
3469,2015-05-13,48.4,49.85,48.49,49.27
3468,2018-10-18,31.87,33.759,32.06,33.58
3467,2018-09-24,41.85,43.3,41.98,43.27
3466,2012-08-03,10.72,11.05,10.89,10.82
3465,2009-03-03,1.97,2.59,2.3,2.59
3464,2007-05-07,34.85,36.69,35.11,36.52
3463,2010-05-05,6.41,7.17,6.93,6.75
3462,2008-12-31,7.48,7.87,7.73,7.48
3461,2015-09-18,43.275,44.03,43.49,43.43
